id,rationales_1,rationales_2,rationales_3
1841,0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1844,0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1849,0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
1850,0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;1;1
1851,1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1,1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
1854,0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1867,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1
1874,0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
1882,0;0;0;0;0;0;0;0;0;0;0;1;1;1,0;0;0;1;0;0;0;0;0;0;0;0;1;1,0;0;0;1;0;0;0;0;0;0;0;0;1;1
1884,0;0;0;0;0;0;0;0;0;1;1,0;0;1;1;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;1;1
1886,0;0;1;0,0;0;1;0,0;0;1;1
1888,0;1;1;0;0,0;0;1;0;0,1;1;1;0;0
1890,0;0;1;1;1;1;1,0;0;0;0;1;1;1,0;0;0;0;0;1;1
1892,1,1,1
1898,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1901,0;0;1;1;1;0,0;0;0;0;1;0,0;0;1;1;1;0
1903,1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1904,0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0
1909,0;0;1;0,0;0;1;0,0;0;1;0
1910,0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0,0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1919,0;0;0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;1;0;0;0;1;1,0;0;0;0;0;0;1;1;0;0;0;1;1
1923,0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1925,0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1928,0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;1;1
1932,0;1,0;1,0;1
1933,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
1937,0;1;1;0;0;0;0;0,0;0;1;0;0;0;0;0,1;1;1;0;0;0;0;0
1942,0;1,0;1,0;1
1943,1;1,1;1,1;1
1946,0;0;0;0;0;1;1,0;0;0;0;0;0;1,0;0;0;0;0;1;1
1948,0;0;1;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;1;0;0,0;0;0;0;0;0;0;0;1;1;1;1;0
1954,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1955,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1957,0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;1;1
1959,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
1964,0;0;1;1,0;0;0;1,0;0;0;1
1965,1;1;1;0;0;0,0;1;0;0;0;0,1;1;1;1;1;0
1970,1;1;1;1;1;0;0,0;0;1;0;0;0;0,0;1;1;1;1;1;1
1972,1;1;1;1;0;0;0;0,0;1;0;0;0;0;0;0,1;1;1;1;0;0;0;0
1974,0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;1;1;0
1976,1;1,0;1,0;1
1985,1,1,1
1990,0;0;0;0;0;0;1;1;1;0;0;0;0,0;0;0;0;0;0;0;1;1;0;0;0;0,0;0;0;0;0;0;1;1;1;0;0;0;0
1994,1;1;0;1;1;0,0;1;1;0;1;1,0;1;1;0;1;1
1998,0;0;1;1;0;0;0;0,0;0;1;1;0;0;0;0,0;0;1;1;0;0;0;0
2000,0;0;0;1;1;0;0,0;0;0;0;1;0;0,0;0;0;1;1;0;0
2005,0;0;0;1;0;0;0;0;0,0;0;0;1;0;0;0;0;0,0;0;1;1;0;0;0;0;0
2007,1;1;1;1;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0
2009,1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0,0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015,0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0,0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023,0;0;0;0;1;1;0,0;0;0;0;1;1;0,0;0;0;1;1;1;0
2024,0;1;1;0;1;1;0;0;0;0,0;0;1;0;1;1;0;0;0;0,0;0;0;0;1;1;1;0;0;0
2028,1;0;0;0,1;0;0;0,1;0;0;0
2039,0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2042,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2043,1;1;1;1;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0
2045,0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0,0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
2049,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1,0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2053,0;1,0;1,0;1
2054,1;1;1;1;1;0;0;0,0;1;1;1;1;1;0;0,1;1;1;1;1;0;0;0
2058,0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0,0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2060,0;1,1;1,1;1
2061,0;0;0;0;0;0;0;0;0;1;1;1,0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;1;1;1
2064,0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
2071,1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2073,0;1;1;1;1;1;1;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0;0
2077,1;1,1;0,1;1
2083,1,1,1
2088,1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2094,0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0,0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1,0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2096,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2105,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2111,0;1;1,0;0;1,0;1;1
2114,0;1;0;0;0;0;0;0,0;1;0;0;0;0;0;0,1;1;0;0;0;0;0;0
2116,0;1;1;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;1;0;0,1;1;1;0;0;0;0;0;0;0;0
2120,1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2121,1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2132,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;1;1;1;1;0
2135,0;0;1;1;1,0;0;0;0;1,0;0;1;1;1
2173,0;0;1;0;0;0,0;0;1;0;0;0,0;0;1;1;1;0
2175,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2192,0;0;0;1;0;0,0;0;0;0;0;0,0;0;0;0;0;0
2199,0;1;1;1;1;1;0;0;0,0;0;0;0;0;1;0;0;0,0;0;0;0;1;1;0;0;0
2207,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2237,1;1;1,1;1;1,1;1;1
2251,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2259,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
2265,0;0;1;1;1;1;1;0;0;0,0;0;0;0;1;1;1;0;0;0,0;0;0;0;1;1;1;0;0;0
2280,1;1;1;0;0;0;0;0;0;0,0;0;1;0;0;0;0;1;0;0,1;1;1;0;0;0;0;0;0;0
2307,0;1;1,0;1;1,0;1;1
2319,1;1;1;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0
2336,1;1;0;0,1;1;1;1,0;1;1;1
2339,1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2350,0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0,0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0,0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0
2359,1;1;1;0;0;0;0;0;0;0;0;0;0,0;1;1;0;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0;0
2376,1;1;1;1;1;1;1;1;0,0;0;0;0;0;0;0;0;0,0;0;0;1;1;1;1;1;0
2404,1;0,0;1,1;1
2405,1;1;1;0;0;0,0;1;1;0;0;1,1;1;1;1;1;1
2416,0;1;1;1;1;0;0;0;0;0,0;0;0;1;1;0;0;0;0;0,0;1;1;1;1;0;0;0;0;0
2419,0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0,1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0
2424,0;1;1;1;0;0;0,0;0;0;1;0;0;0,1;1;1;1;0;0;0
2427,0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1,0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1
2434,1;1;1;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;1;1;0;0,1;1;1;0;0;0;0;0;0;0;0
2437,0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1,0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1
2440,0;0;0;0;1;1;1;1;1;1;1,0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;1;1;1;1;1
2446,0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;1
2454,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1
2455,1;0;0;0;0,1;1;1;1;0,1;0;0;0;0
2458,1;1;0;0;0;0;0;0;0;0;0;0;0;0,1;1;0;0;0;0;0;0;1;0;0;0;0;0,1;1;0;0;0;0;0;1;1;0;0;0;0;0
2475,0;0;0;0;0;0;0;1;1;1;1,0;0;0;0;0;0;0;1;1;1;1,0;0;0;0;0;0;0;1;1;1;1
2482,1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
2493,1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2495,1;1;1;1;1;1;0;0;0;0,0;0;0;1;0;0;0;0;0;0,0;0;1;1;0;0;0;1;1;1
2509,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2510,0;0;0;1;1,0;0;0;0;1,0;0;0;1;1
2512,0;1;0;1;0;0;0,0;0;0;1;0;0;0,0;1;0;1;1;0;0
