id,text,subtask_a,subtask_b,subtask_c
1716,😱,0,2,3
1717,pse sja u rritin cik rrogen dhe ti bejne selfie 😁😁,0,2,3
1718,🤣🤣,0,2,3
1719,Jan turist te huaj u pelqen kryeqyteti 🖕duan te marrin shembull 😜😜,0,2,3
1720,"Të paktën në Tirana punojn,  ka dhe puntor edhe fotograf, kurse Vlora nuk ka asnjë gjë. Pak puntor që ka, nuk pastrojn fare. E kan mendjen të gjejn kanaçe ti shesin edhe shefia që i kontrollon gjatë natës puntorët, dhe ajo gjen kanaçe dhe i shet. 🤣😂 është pët të qeshur e për të qarë, por është një e vërtet e hidhur 😕",0,2,3
1721,Hahahaha dhe thon ska vende pune,0,2,3
1722,Sa mer ajo palo  fotografia ato puntor e shkrete si marin 3 muaj qe lejn djersen aty per buken e kalamojve qe kur vje puna as per buk sdel 😔😢😢,1,0,0
1723,😡😡😡😡😡,0,2,3
1724,Spiun lind nuk boesh😂,0,2,3
1725,"Ktheje edhe ti iher koken mbrapa se mos t bn nd1 tjtr foto,,",0,2,3
1726,"fotograf ma i mir qenke ti ,apo jo @hazis_gjini 😂😂😂",0,2,3
1727,hahaha o pallosh mos harro se dhe ti fotograf je ne ket rast. madje je dhe spiun,1,0,0
1728,Jan 2 do te thuash perfshir dhe veten tende... Qe te dy puntoret me fotograf personal... Ikni o se lat nam cdo gje e hidhni tek JOQ...lerini njerzit rehat ne punen dhe hallet e tyre,0,2,3
1729,Sa do doja ta kisha dhe un nje fotograf 😁😂😂,0,2,3
1730,👏👏👏👏,0,2,3
1731,Po.kta per cfar duhen,0,2,3
1732,Duhet të bëj dhe unë ndonje aplikim për fotografe 😂😂..,0,2,3
1733,Po si ky eshte dhe ai i durrsit e ka mbush plot me peme  sa peme ka vene sa ke mall me pa nje,0,2,3
1734,Lali leku : plehra me e madhe,1,0,0
1735,Ndryshoni strategji se po ju ulet numri ndjekesve me keto qe i shofim nga ballkoni !!,0,2,3
1736,Ndrroje kasetofonin veje nafi tmadh 😂,0,2,3
1737,"Ti qenke mo pem fare qe ke ber foton 😂😂👎,,ketu ne foto nuk po shohim gje pem thjesht betoniere qe po kalon ne orarin qe i lejohet per pune qe i eshte dhen per ta ber kaq thjesht 🤫🤫",0,2,3
1738,Nuk e kuptoni ju pemet do mbillen siper pallatit kur te mbaroje po nuk e kuptoni lalin ju 👏lali,0,2,3
1739,Nuk ishin duke mbjell  pem por ishin duke ber beton sepse kte foto e kam postuar un 😉😉,0,2,3
1740,Si blete punetore jane....plot me peme i kane kamionet...ka lezet,0,2,3
1741,Politikan te qelbur e betonizuat gjithe vendin .Vdekshi ishalla te mbytur ne beton,1,0,2
1742,Sa e paska trungun kjo pema 😂,0,2,3
1743,😱,0,2,3
1744,Forca Lali jepi👏👏👏,0,2,3
1745,Pershendetje,0,2,3
1746,"Pemë betoni,, ka dal moda re 😂🤣🤣",0,2,3
1747,Kjo eshte ne kamez😑🤔,0,2,3
1748,je ne kamez aty o plak kte her mos ja hedh fajin lali erit 😂,0,2,3
1749,Sh i mire golfi Respekte,0,2,3
1750,Pylli BETONAL ne cdo hapsire te gjelber apo toke dhe o e betonalizojme ne menyre orbitale nga dajti ne vore nga elbasani ne fush kruje.. rroft betonalizmi dhe lali eri betoni fasada,0,2,3
1751,Pylli Orbital,0,2,3
1752,Kujdes xhamat se i ke plot avull 😅😅😅😅,0,2,3
1753,Le nam edhe ti po vere ndonje keng ne cd jo ne radio si gjyshi im ☠🚫🙈🤣🤣🤣🤣,0,2,3
1754,😨,0,2,3
1755,😓😓,0,2,3
1756,Shko pra ti si i bo foto jepi ndonje gje 😡 mos rri bo foto kot pa lidhje,0,2,3
1757,Nuk eshte mjerim nxjerin mbi 2500lek ne dite po i prishin kot rojne me sufllaqe cola etj.😉,0,2,3
1758,Te ver te punoj,0,2,3
1759,😢,0,2,3
1760,Po ne cdo ven te botes ka njerez qe kerkojne neper kazon o na honkshit mutin JOQ,1,1,3
1761,Ti shohe kryeministri se ne po i shohim gjdo dite.  Gjynah 😭😭😭,0,2,3
1762,😭😭,0,2,3
1763,😒😒,0,2,3
1764,keshtu eshte gjith bota.ju bashkuam dhe ne kete deshet dhe ju!,0,2,3
1765,Ky eshte fut tamam punes me koke 😅,0,2,3
1766,Hajde shiko ne gjermani sa ka si keta tipat neper kosha,0,2,3
1767,😢,0,2,3
1768,Kshu eshte kur ky popull budalla shet votat komunistave per nje thes me miell dhe le te hane mut 8 vjet me rradhe😂,1,0,1
1769,trishtim,0,2,3
1770,😔😔🤦‍♀️,0,2,3
1771,Hajde ne Angli ke me shume nga ketu 😂😂,0,2,3
1772,ehh sa vap aty ne autobus ee tbejsh foto,0,2,3
1773,💔😢😢😢😢,0,2,3
1774,Shko ndihmoje mos i bej foto dhe e drg ketu JOQ 🖕🖕🖕,0,2,3
1775,gjynof pz,0,2,3
1776,Ne Tiran dhe jo vetem...,0,2,3
1777,Mjerimi ne tru 😬,0,2,3
1778,A ne fakt tani po i shikoni ju po ju qan zemra shum.. skeni ci ben gomarit e i bjen samarit.. ka 30 vjet demokraci qe eshte mjerimi ne shqipri.. po ta gezosh celularin sepse duket se kaq e ke intuiten ti spio i digitalizuar..,0,2,3
1779,Gjyna 🙁,0,2,3
1780,😢,0,2,3
1781,Fuck the system 😓,1,0,2
1782,Mjerimi ne tirane ja ka ... at nan..,0,2,3
1783,🤦🏻‍♀️,0,2,3
1784,N selvi,0,2,3
1785,Mos m thuj ke kater deshmoret 😂😂😂,0,2,3
1786,Hajde te shohesh edhe Nr mes te New Yorkut  te tille. Ke sa te duash. Edhe te pa strehe qe flene be trotuare .,0,2,3
1787,Sa gjynah 😔😔,0,2,3
1788,"Kafshate qe s'kaperdihet eshte o vlla mjerimi.😥O Zot ndihmoji kete edhe te tjeret si ky, se ka me shumice keshtu.😥",0,2,3
1789,😥😥😥,0,2,3
1790,"Jemi katandisur si nje vend i sapo dale nga lufta,ku sheh njerez pa shtepi njerez ne rruga pa pune,,femije pa shkolle,femije qe germojne ne kazanat e plerave,dhe nga ana tjeter sheh njerez qe rrahin gjoksin se kane ndertuar nje stadium,a thua se cfare kane bere,ca vlere ka 
perpara ketij realiteti te hidhur...",0,2,3
1791,Keqardhje per kete varferi qe nuk e meritojme.,0,2,3
1792,"si ka mundesi, tirana fiton vetem cmime 😂😂😂😂😂😂 per rrena mduket",0,2,3
1793,😢😢,0,2,3
1794,Ka dal ore se po te marrin dhe ty per mbeturina🤣🤣🤣🤦🏻‍♀️,0,2,3
1795,Ne xhdo vend te botes ka kshu nuk esht noj gje per tu cudit.,0,2,3
1796,🥺😔,0,2,3
1797,Mjerimi qeka zaptur Shqiperin 😢,0,2,3
1798,😢😢😢,0,2,3
1799,😢😢😢😢😢😢Pse vetem ne tiran ke gjitha andej ne shqipri nuk ka gje me te keq te betohem 😢😢😢😢😢,0,2,3
1800,e ter shqiperia ashtu eshte mjerim total 😏,0,2,3
1801,Sa gjynah 😢,0,2,3
1802,Mjer Tirana apo mjer ai fmij q hy aty per me mbledhur ndonje gj per t nxjerr copen e bukes gjynah Allahu e rujt 😟,0,2,3
1803,Buka e gojes ç'a te ben😪😪😓😓,0,2,3
1804,😭😭,0,2,3
1805,😞😞,0,2,3
1806,Gjynof..🙁,0,2,3
1807,Edi Rama Tqr,1,0,0
1808,🥺🥺🥺,0,2,3
1809,"Biznes jo spital lale, me aq lek sa paguajne robte aty kto te smurin vete veç qe te vjelin... dhe kur e dine qe pacienti ska shpetim ato e mbajne gjalle dhe marrin lek duke i genjyer familjaret e shkrete dhe kur skan me te bejne gje i drejtojne ne spitale publike ne menyre qe te vdesi atje e jo ne privat se privatit i leverdis qe % e vdekjeve ta kete sa me te ulet ne spitalin e vet sepse sa me shume njerez genjehen ashtu... dhe pastaj shajme spitalet shteterore ne",0,2,3
1810,Zoti na ruajt ca spo degjojm.!,0,2,3
1811,Robte..!!,1,1,3
1812,ti qish nanen e ti per doktor,1,0,0
1813,O daku ndrro zanat se nuk ashte per ty.Shko baj mekanik makinash se te pershtatet ma shume.,0,2,3
1814,Dhe pacienti e te afermit vetem ankohen?!,0,2,3
1815,Ishalla sja ka vnu t iphonit se duhet me mush shpesh 😂😂,0,2,3
1816,Lum ne ku jetojm!,0,2,3
1817,Po kur ti bjer baterja si i bohet apo e karikojn me kava 😂😂😂😛😛😛😛,0,2,3
1818,qr,1,1,3
1819,Sa te pa pergjegjshem.,0,2,3
1820,Sdi ku me shku njeriu gjor. Ne shtet thon ste prek njeri me dor po spate lek ...... Ben miliona  shpenzime ne privat gjoja me mir e gjen belan .....,0,2,3
1821,Gjith kshu jan aman😅😅😅😅,0,2,3
1822,Ktij kurves duhet me shlu kinen,1,0,0
1823,😞😞,0,2,3
1824,Mos me prek n tela se ti prej telat😂😂😂 ky duhet te ishte elektricist 👍,0,2,3
1825,🤨,0,2,3
1826,Na mar in me qaf këta ne,0,2,3
1827,Prandaj jam krenar qe jam shqiptar 👏🏼,0,2,3
1828,O legena! po kulla eshte dhen ne kohen e Bashesh dhe po e nderton familja Berisha,1,0,2
1829,Ai merak na ze ne,0,2,3
1830,Ahahah akoma me pytje. Dhe pak sdo kemi mundesi te pyesim fare per as gje.,0,2,3
1831,"Nuk ka kohe te te kthej pergjigje, kot e ke. Eshte i zene me cmimet qe fiton.",0,2,3
1832,Kur u ngrit kjooooo yyyyyyy,0,2,3
1833,Shqetesimi juaj nuk merret parasysh nga zyra permbarimore KCK ahahhahaha,0,2,3
1834,😯😯😯,0,2,3
1835,Nuk e kuptoj ca popull jemi dim vetem te ankohemi ne rrjete sociale dhe persa i perket realitet nuk ja mban bytha njeriu qe te dal te protestoj apo te kerkoj te drejtat e veta. O popull boll u ankuat ne rrjete sociale se na shtruat keto pyetje te joq nuk do te thote se e vuri ujin ne zjarr erion veliaj me shok 🙌,1,1,3
1836,"Ajo eshte ndertesa e re e fshf-se, prandaj pervec lalit, kerkoji llogari edhe dukes.",0,2,3
1837,Nga ajo anë ku je ndërkohë që po e bën kte foto!!,0,2,3
1838,Ke trotuarin ne krahun tjeter...,0,2,3
1839,Se shef ti do meret erjon veliaj tu marr me ty e tu lexu joq 😂,0,2,3
1840,Le te shprehen sufllaqexhinjte!🙌😂,0,2,3
1841,"Mos u lodh kot o Boss.. Si Luli, si lali, i mut i modh jon.. skon me bo hajer ky popull kur zihet me njoni tjetrin,",1,0,1
1842,"Prit te te rritet femija!!!mbaron pallati,femija sdo me karroc,meri biciklet se kan ber korsi !!! Do thonte Zoteria!🤷🏾‍♂️",0,2,3
1843,"Që ky që ngrihet është problem jam dakort dhe pse jo të diskutohet dhe të bëhet ankimimi përkatës e të kërkohet llogari një më një siç na kërkohen dhe ne pagesat për taksat por që ta ndajmë njëri tjetrin ca ""sufllaqexhinj të rilindjes"" e ca ""tollumbaxhinj të ndryshimit"" sikur sja vlen. Jemi të gjithë popull Shqiptar dhe njëlloj na dhemb kurrizi si nga taksat si nga padrejtësitë. Të bëhemi bashkë kundër padrejtësive e ti ndalim ato do ishte më produktive sesa ta ndajmë njëri tjetrin në ca të ëmbël e ca të kripur. Bashkimi do ta bëjë këtë vend nëse do bëhet një ditë, jo përçarja! Respekte! 🇦🇱",0,2,3
1844,Spaska info tamom ky dordoleci i bashes ska faj i ka fut 1 kile raki dhe nuk mban mend ku ka shpin e vet 🙈🙈😂😂don me dit kush e ka ber kete ndertim 100%  Lali Basha 👎👎👎,1,0,0
1845,"Seshte i vetmi trotuar i zaptuar ne mes te Tiranes,  jane shum 😑😡",0,2,3
1846,KUSH DO PUNE NDERTIM ?,0,2,3
1847,"Liqen me kullë, apo kullë me liqen?!",0,2,3
1848,Ne anen tjeter te rruges. Fiks mu aty ku e ke shkrep foton.,0,2,3
1849,"Shum lek kane hudh aty qr normal me taksat tona legena politikan na moren ne qaf ,",1,1,3
1850,Pallati i lul bashes esht ky u o kurva,1,0,2
1851,Ju q... lali eri ne bythe ishadha te gjithve ju si e votuat e ju si nuk e votuat bashk me ate te gjatin se vet e keni fajin po rrini ne shtepi edhe komentoni ktu ne joq se tapo jau zgjidhin problemet kurr mos pashi dit te mire popull legen,1,0,1
1852,😢😢,0,2,3
1853,🤔🤔😉😉😉Po mire TI CA BEN te liqeni,0,2,3
1854,"Mjere ne per keta fytra te urryera qe kemi, si ne Bashki si ne qeveri. Njeri me i ndyre se tjetri. Ku te na i bejne malore cdo hap qe perpiqemi te hedhim cdo dite",1,0,1
1855,Ani ani ajo po mbaron ju grini sallat,0,2,3
1856,Ti po qe paske hall te madh buuuuu,0,2,3
1857,Mos ke pas syze dilli ne dark kur kalove,0,2,3
1858,E tmerrshme si vkedhin trotuarin ne mes te tiranes dhe sdo tja dij njeri 🙈,0,2,3
1859,"Ske faj, kata kane zaptuar gjithcka.",0,2,3
1860,"Komente shume pa lidhje, sidomos nga femrat, nuk prisja te lexoja te tilla komente dhe me vjen keq qe keni kaq gjykim te dobet, por ska problem se do filloni te gjykoni kur tju behet juve nje padrejtesi si kjo ose edhe me e rend se kjo",0,2,3
1861,Po ti mor  zoteri qe shkruan e nis biseden ters qe kur i thua zoteri atij klyshi,0,2,3
1862,ne skem uje skem dirta skem pune si intereso njeriut ti ankohesh per nje rrug se skalon a#karoaca,0,2,3
1863,"Po kjo eshte e Lulit, ndaj i ndali protestat",0,2,3
1864,Ka parkim e per karrocat 1m lek ora mduket,0,2,3
1865,Sa komentator te deshtuar,0,2,3
1866,Nderro  drejtimin  znj🙈🙈🙈,0,2,3
1867,"Ti mos dil fare se nuk te takon, kur ti teket lali le..... mund te dalesh. Femija jot te dali kur te martohet. Vdekte lali eri me soj e sorollop",1,0,0
1868,👏Tamom sufllaqexhit servilat 😂😂,0,2,3
1869,Merre ne krah😂😂,0,2,3
1870,Po pse skalon hiç ai për karroc  à qafir à,0,2,3
1871,😂😂,0,2,3
1872,Ne maje plepave 💁‍♀️,0,2,3
1873,Aty rri se do e marresh pergjigjen. Mundesisht porosit nje sufllaqe e prit🤦‍♀️😔😔,0,2,3
1874,Po mos dil fare moj gru . Pfffff pse del nga liqeni ti apo kerkon per 🍆 😂😂😂,1,1,3
1875,Kjo ndertesa ngjan me coloseum ne rome🙄🙄🙄🙄🙄,0,2,3
1876,Kerkoja Luli byrekut se ai e ka dhene kte leje 😜,0,2,3
1877,Jo vetem ketu po ne asnje vend ne tirane nuk leviz dot lirshem me karroce. Tronditet femija i shkrete si me qene ne kamion nga rruget e keqija dhe trotuaret me puseta e te ngushta.😭,0,2,3
1878,Mer helikopter privat 🤣,0,2,3
1879,I keni shtuar shume pretendimet kohet e fundit... doni dhe trotuar pale,0,2,3
1880,Nga krahu diges ku ke bo foton 🤣,0,2,3
1881,Prit te mbaroj I here ose kalon nga ana tjt se jeni msu ju me kalu edhe nga ajri,0,2,3
1882,Thuj ktij nmos sufllaqexhijt ja jep saliu me lirin pergjigjen me naj plumb bythes,1,1,3
1883,Te kam then 100 her ik  mer azil politik ne hong kong se ky vend sbehet edhe 100 vjet ☠🚫🙈🤣🤣🤣,0,2,3
1884,Kur te pellcasin syt te dy ku jeton ti o kafshe,1,0,0
1885,Ne berat🤷‍♂️😂😂😂,0,2,3
1886,Kur te pullcasin ty,1,0,0
1887,💕,0,2,3
1888,i marrte dreqi pushtetaret shqiptar,1,0,1
1889,Turp per shtetin,0,2,3
1890,Kti i ka ra zoti ne shpull,1,0,0
1891,@stela_mezuraj sdi ca te them 😆,0,2,3
1892,shpifsire,1,0,0
1893,Ne berat,0,2,3
1894,🔥🔥♥️♥️💋💋,0,2,3
1895,X🤣,0,2,3
1896,@joana__zeneli,0,2,3
1897,Mos te shkoje tu ngacmu robt e tjerve aj se e ka per teksirat tmytmen,0,2,3
1898,"Keta kerkojne percarjen e popullit. Sot populli eshte bashke, jane te lidhur me miq e shoke, kete lidhje keta pisa nuk e duan se duan te sundojne vete. Jo arme, jo dajak edhe une enveri te ju bej juve te 100ndtat. Fuck you piece of shit. Nuk ta fut njeri as dajakun as plumbin po sbere keq. Prandaj rri mire. Edhe per dituri, arma eshte ajo qe mban boten sot ne paqe.",1,0,0
1899,"Kush me hodhi mua nga shkallet, pa mendohu njehere.",0,2,3
1900,ky po kullot baktine😜😜,0,2,3
1901,shife vidion o moter qir shife,1,0,0
1902,CA THUA. PO KUR NDODHI😂😂😂😂,0,2,3
1903,ky esht me palla nga te gjith ckemi pasur deri me sot te roft shkolla grada e mut e lesh cke mar sje i zoti te mbash nje shtet qoftja i dreqit kot sa ha buken kot do beje mbrekulli qe ta hante racionin jot nje i pastreh tqr,1,0,0
1904,"Sot e moret vesh ju se ky vend ka pushtmuta,policë,prokurorë,gjyqarë,e çdo zyrtar me pisa ne europe",1,0,1
1905,Ne qofse nuk jane Arestuar mos dile me ne Ekran dhe pere mua je i pa besushem per pamjet qe shikoj,0,2,3
1906,Edhe nga berati edhe i fort,0,2,3
1907,"Nuk trref kush per qef sot po ky ka qen kamarjer,varet ca ka bo😉",0,2,3
1908,😂😂,0,2,3
1909,Ik mor shkolafsh 🤣🤣🤣,1,0,0
1910,🤬🤬🤬🤬🤬 shtet muti ai me rroba te zeza qe e qelloj me shum ishte dhe brek grisur si ka mindesi nje brek grrisur te behet gangster 3 kundra 1  kaq gangstera jan po kur ska shtet ska faj brek grrisuri kur ska mace minjt kercejn 🖕,1,0,2
1911,😤🤬,0,2,3
1912,kur ndodhi kjo,0,2,3
1913,KUSH DO PUNE SHOFER?,0,2,3
1914,Kur hoqe syzat😂😂🚀,0,2,3
1915,Kush shtiu,0,2,3
1916,Ata 3 me një???? Eshte mirë policia ta provoje 50 me tre ta shijojne sa i mirë eshte druri,0,2,3
1917,Ja dhe un tani e mora vesh🙄🤦‍♀️,0,2,3
1918,Ky si ata maniaket neper filma horror edhe syzet fikes😒,0,2,3
1919,Pz a ka per tnej tu ruj robt se kush rrafen qja qrobt🔥,1,1,3
1920,kan bo shaka me te mor burr se nuk esjt rraf njeri 😂😂😂🍆🍆🍆🍆🍆,0,2,3
1921,Ky ikap gjerat sikur punon me rreze djelli,0,2,3
1922,As kafsha nuk u rrihte ashtu ai pertok dhe kthehet dhe i bjen prap me shqelma nje turp per gjith policin dhe showe,0,2,3
1923,Te kapen ata 3 maskarenjt kafsh !te marin ate qe meritojn!😡😡tmerr te shikosh ate video !Sa te pasigurt na ben te ndihemi ky vend!,1,0,0
1924,Se mos e vret trunin ti se cfr ndodhi sot e neser..vetem interesin per veti at keni ju 😜,0,2,3
1925,Ske faj mo bisha se ty po te pyesi kush ku  e ke gruan sdi gje nese jan punt e zotit kto ☠🚫🙈🤣🤣🤣,1,0,0
1926,😔🤦‍♀️,0,2,3
1927,"Jo m asigjo ska ndodh shko ik fle gjum rehat, fundja nuk esht femija jot",0,2,3
1928,Kur ti po enderroje per te vjeth popullin o bq,1,0,0
1929,Hahahhaha ju jeni gallat pse ky do I mbroje kush rrihet e 😂,0,2,3
1930,Ti te keqen je ne autobus,0,2,3
1931,as un se dija🤔🤣🤣🤣🤣,0,2,3
1932,Bravo pederast,1,0,0
1933,"E di ti kujt i thon kod penal apo nuk e di? # ja ky eshte 👋 mor qafir, edhe ta puthesh se ky e rregullon miletin. # e kam bo vet qe po sfinitem per t‘miren tuj, t‘ju bej si turqit e soçem... # ku keni pa ju kryeminister qe ju zgerdhit ne dru, hak nuk me kini... jeni kriminela mor### thyni qafen ###",1,0,2
1934,Rama ik,0,2,3
1935,Ju te JOQ e hani buken kot beni propagand gjeju pun ti njerzve...,0,2,3
1936,😂😂😂😂,0,2,3
1937,Ose te q... ne mes te rruges thuj,1,0,2
1938,Normal shum vend isigurt njerzit por vriten perdit esht me te ardh keq,0,2,3
1939,Po ca faj ka rama mor shok do vij tju ndaj ai 🤦🏻‍♂️,0,2,3
1940,Ti plako me e vri mendjen ste rref kush 👋,0,2,3
1941,😠😠😠,0,2,3
1942,O hajdut,1,0,0
1943,hund derr😡😡😡,1,0,0
1944,🤣🤣🤣🤣🤣🤣🤣🤣,0,2,3
1945,"Po sbesoj dhe e ka fajin Rama se ndodhin sherre 🤔Ky popull po fokusohet ke Rama qe ok as qe diskutohet qe po vjedh si cdo politikan tjeter,por populli duhet te fokusohet ke:1.Si ka mundesi qe ketu nuk reagojne njerzit ne rruge kur shofin gjera te tilla te pakten lajmerohet policia ose behet nja 10 njerez aty ne rruge dhe nderhyn?! 2.E shikon ky popull ca brezash po rriten,i kontrollojne femijet? 3.Modeli qe ka zgjedhur rinia shqiptare eshte te bejme leke sa me shpejt,sa me shume e ne ca do lloj menyre dhe pastaj makina te fundit,shampanje(mundesisht ta derdhim se na duket vetja cuni Berlusconit) femra.Ky eshte modeli tipik qe promovohet ne shqiperi.Gjithe ankohen se nuk rrihet ktu sdalin leket por nuk ikin jasht se nuk jetohet me 1300 euro jasht,kur ktu nuk kan as 10%te standartit dhe kushteve qe ke jasht.E fundit rrin gjithe diten Rama ik,po ja qe se paska fajin edhe aq Rama se kushdo qe te vij ne pushtet shqiptari nuk ndryshon.",0,2,3
1946,Ti e ke te provuar o psiko,1,0,0
1947,Pse prekupohesh kaq shum ti moj OJQ se joq nuk je.... ty ne kohen e partis tende te vrisnin ne mes te rruges filloj qe ne 90/97/........ e pa fund pse kryeministri do bej policin ... Po ca shkruani aman idiotsira pa fund,0,2,3
1948,Jemi ne popull injorant e ka te drejte ta talli bythen ky 😤😤,1,0,1
1949,Nuk te rreh kush kot o bukurosha..,0,2,3
1950,Ka ligj po ka dhe Maliq. Nese ju o popull I besuat nje njeriu qe thote ligji ligji ligji por qe ne te vertete genjeu atehere dilni nga ligji dhe shkoni te maliqi. Popull budalla maliqin aty e keni gjithmone.,0,2,3
1951,Rama ikkkkkkkkkkkķk,0,2,3
1952,😂😂,0,2,3
1953,🤭🤭🤭,0,2,3
1954,"Behen edhe filma keto,ska asgje per tu shqetesuar deri ne momentin kur nje dite me vend te atij djalit te beratit te jene pjellat tuaja sidomos pjella e asaj shpirtshkerdhyeres!",1,0,0
1955,"Me mire dajak sesa komunizem. Jo po te kapesh shtetin ti e mos te te rrahe me njeri sepse ja ndalon ligji e te rrish te sundosh ti, sic bejne keta te BEse sguxojne me ba I pordhe. E te behemi dhe ne si keta. Dajak se te hoqa zverkun derisa te rrish mire. Ketu pushtetin e ka populli, te rreh po bere faj, jo ta kesh ti, ti besh 1000 te zezat e ai mos te te preke me dore se I ke vene ti ligj. .... you and your ill intentioned laws. You aren't a man of virtues, so no respect for your laws. Look at albin kurti he is the opposite of you. Albin kurti for albanians, not you.",1,1,3
1956,😂😂😂evertet,0,2,3
1957,ec mer se na ka merzit me ndez tv ky legeni,1,0,0
1958,😂,0,2,3
1959,Njerëz injorante kompelt qe përveç drurit zdinë asgjë..mjer ata prinder që i kanë në shpi pupu skandal aq te vegjël edhe kriminela,1,0,1
1960,Ruaj linden tii 🤣🤣,0,2,3
1961,🔥,0,2,3
1962,😂😂😂🤣🤣🤣🤣,0,2,3
1963,Flak fare jo po do e lodhnin duke e cuar ne nonje cep. NUK TE BIE NJERI ME QAF KOT DITET E SOTME,0,2,3
1964,Rilindja jote o fisderr,1,0,0
1965,Te rafshin ort e Malit ishalla.,1,0,0
1966,Po stref kush kot,0,2,3
1967,Ka tfort sot nrm,0,2,3
1968,Pun ka por nuk ka profesjonista 😂😂😂😂😜,0,2,3
1969,Po rreh policia njerzit rruges ju thoni mos te rrihen me njeri tjetrin ehu,0,2,3
1970,Ishalla e fillojn me ty te parin,1,0,0
1971,For the reason Pse mshef 🤣🤣,0,2,3
1972,Te rrahin ty njher.. nuk do ishte keq,1,0,0
1973,"Kush te rreh, te do (ka thene populli yne rrahës). Ndaj qe, ne rruge a ne shtepi nuk perben diference.",0,2,3
1974,Sherre te tille behen dhe filma do thoshte spiropalla !,1,0,0
1975,Ky e mori ne Qaf kte popull,0,2,3
1976,O monster,1,0,0
1977,rrafen nji kamarier se nk deshen me pagujt ☹️☹️☹️,0,2,3
1978,🙄🤦‍♀️,0,2,3
1979,Popull i keq,0,2,3
1980,😭😭,0,2,3
1981,😔,0,2,3
1982,Te vijn me uniform polici ne shpi dhe te vjedhin 300 mije € . Shtet me te sigurt nuk ka,0,2,3
1983,Nk te rreh kush kot po ste llapi goja... ky sdo mbyll gojen njrz se pastj do thon u be si enveri.. me mir goja llap shpina dap 😂😂😂😂😂,0,2,3
1984,👏👏👏👏👏👏,0,2,3
1985,🖕🖕,1,1,3
1986,Ste reh kush pa bo gjo 🖐🏻,0,2,3
1987,Si urdheron ....😓,0,2,3
1988,👌,0,2,3
1989,Si ka mundësi vetem ne shqiperi të rrahin rrugës në vende të tjera të botës jo ??,0,2,3
1990,N fakt ne vende te tjera te qin nbyth po e bone veten,1,1,3
1991,@aldos_muka rri urte se si dihet 😂 ... Hahahahah garipa  3me1 . Burrni paskan bo .,0,2,3
1992,te rrahin esht mir po te vrasin krejt 😂,0,2,3
1993,Kot ste rref njeri👌,0,2,3
1994,O qen zgjebarak o qen koshash🤣🤣,1,0,0
1995,Jo n mes t rruges Por edhe ne mes t dites thuaj..👌,0,2,3
1996,"Kafshe, çardo te kete bere ai i shkreti nuk meriton te dhunohet ashtu.",0,2,3
1997,🤣🤣 rrahfje qyl dmth🤣pa prit pa menu,0,2,3
1998,Nrm tjesh rrot k... nrm se te rrahin..,1,0,0
1999,Mos ja boj vendin vlla se ashtu tgje kudo!,0,2,3
2000,Ose te thrrasin si dele Rama ik😒,1,0,1
2001,Ruhu se mos te rrahin dhe ty nje dit😑,0,2,3
2002,Ktu te vin ne shpi se ne rruge hallall e pacin 😂😂😂😂,0,2,3
2003,Kete vend e ka marr lumi ...🤦‍♂️,0,2,3
2004,"kjo e te rrahures mund te ndodhe ne cdo vend te botes , por thuaj jem aqe te sigurt sa mund te vij hajdutu te na kerkoj kafe sa per shtet qe ka",0,2,3
2005,Shife cfr kingu..o legen e shkatrrove kte popull 😜,1,0,0
2006,Nrm ky e di mir se e ka provu 😉,0,2,3
2007,Si tjesh gjall akoma ti nrm do ndodhin @ediramaal 🖕,1,0,0
2008,Normale i ka bo njerzit si puna vet budallejn maskarrjn.,0,2,3
2009,Po re legen qe kur ka shkel kemba jote ne parlament jeni ber mkeq se gambino ndrangheta corleonet 😒,1,0,0
2010,Mir qe nk i rrihni ne shpi pz 😂😂😂,0,2,3
2011,Po😂,0,2,3
2012,Ke te drejte shum te sigurt🙄🙄,0,2,3
2013,Njerzit duhet t'i therrasin mendjes,0,2,3
2014,👏😂,0,2,3
2015,Gjithmon duhet patur parasysh nese shikoni nje budalla ne rrug pershendeteni ku i dihet jetes nje dit mund te behet kryeminister ☠🚫🙈🤣🤣🤣🤣,1,0,0
2016,normal👏,0,2,3
2017,KUSH DO PUNE NDIHMES ?,0,2,3
2018,Tja bosh  gjykatesit ate plagosje te let,0,2,3
2019,"O djal mer cunat e fisit kapi ata tre trimoshat dhe coji para kameres e bejua me zi sec ta ben , me pas shko ne gjykat dhe thuaju gjykacve nje rhaje let ishte me ca brijn te thyera kembet e thyera nje vit regjim shtrati",0,2,3
2020,Nuk ka faj gjykata për rastin nē fjalë.  Eksperti që ka mbajtur raportin nga mjekësia ligjore.,0,2,3
2021,Degjenerimi i gjykates dhe prokurorise Se Beratit vazhdon,0,2,3
2022,sipas gjykates koka dahten me e mbytë dhe tani te arrestohen haj medet qfar gjygjy  kemi ne Shqipëtarët 😡😡😡😡😡,0,2,3
2023,Po pse talleni o m... q ..,1,0,2
2024,A ta fut rama ne goj ty te bllokoj fare,1,0,0
2025,"Mos me thoni qe i kapen e i lan te lir,  Po sikur ai qe ú rrah e nuk pa drejtesi te mari armen e te vrasi do denohet.",0,2,3
2026,Ore sdaka nje te rrah ndonje gjykates prokuror kta duan ti vesh plumin 😤,0,2,3
2027,L,0,2,3
